id,CRIM,ZN,INDUS,CHAS,NOX
1,0.4262,-0.1136,0.2553,-0.0692,0.2846
2,0.7228,-0.1136,0.2553,-0.0692,0.2846
3,0.1922,-0.1136,0.2553,-0.0692,0.2146
4,0.0937,-0.1136,0.2553,-0.0692,0.2146
5,0.0426,-0.1136,0.2553,-0.0692,0.0870
6,0.1217,-0.1136,0.2553,-0.0692,0.0870
7,0.5341,-0.1136,0.2553,-0.0692,0.0870
8,0.1173,-0.1136,0.2553,-0.0692,0.0870
9,0.1708,-0.1136,0.2553,-0.0692,0.0870
10,0.2815,-0.1136,0.2553,-0.0692,0.0870
11,0.4736,-0.1136,0.2553,-0.0692,0.2846
12,0.1627,-0.1136,0.2553,-0.0692,0.2558
13,0.0812,-0.1136,0.2553,-0.0692,0.2558
14,0.2510,-0.1136,0.2553,-0.0692,0.2558
15,0.7859,-0.1136,0.2553,-0.0692,0.2558
16,0.0922,-0.1136,0.2553,-0.0692,0.3360
17,0.0840,-0.1136,0.2553,-0.0692,0.3360
18,0.0383,-0.1136,0.2553,-0.0692,0.3360
19,0.0948,-0.1136,0.2553,-0.0692,0.1220
20,0.0386,-0.1136,0.2553,-0.0692,0.1220
21,0.0582,-0.1136,0.2553,-0.0692,0.0603
22,0.1377,-0.1136,0.2553,-0.0692,0.2558
23,0.0970,-0.1136,0.2553,-0.0692,0.0603
24,0.3827,-0.1136,0.2553,-0.0692,0.2558
25,0.0422,-0.1136,0.2553,-0.0692,0.2558
26,0.0644,-0.1136,0.2553,-0.0692,0.2558
27,0.0548,-0.1136,0.2553,-0.0692,0.0603
28,0.0725,-0.1136,0.2553,-0.0692,0.0603
29,0.0318,-0.1136,0.2553,-0.0692,0.0603
30,0.0221,-0.1136,0.2553,-0.0692,0.3257
31,0.1158,-0.1136,0.2553,-0.0692,0.3257
32,0.0848,-0.1136,0.2553,-0.0692,0.3813
33,0.1215,-0.1136,0.2553,-0.0692,0.3813
34,0.1300,-0.1136,0.2553,-0.0692,0.3813
35,0.1131,-0.1136,0.2553,-0.0692,0.3813
36,0.0649,-0.1136,0.2553,-0.0692,0.3813
37,0.2072,-0.1136,0.2553,-0.0692,0.3813
38,0.0687,-0.1136,0.2553,-0.0692,0.3813
39,0.0231,-0.1136,0.2553,-0.0692,0.3813
40,0.0714,-0.1136,0.2553,-0.0692,0.3813
41,0.1033,-0.1136,0.2553,-0.0692,0.3813
42,0.0793,-0.1136,0.2553,-0.0692,0.3813
43,0.0301,-0.1136,0.2553,-0.0692,0.3813
44,0.0709,-0.1136,0.2553,-0.0692,0.3813
45,0.0642,-0.1136,0.2553,-0.0692,0.3257
46,0.0440,-0.1136,0.2553,-0.0692,0.3257
47,0.0349,-0.1136,0.2553,-0.0692,0.3257
48,0.0205,-0.1136,0.2553,-0.0692,0.3257
49,0.0166,-0.1136,0.2553,-0.0692,0.3257
50,0.0521,-0.1136,0.2553,-0.0692,0.3257
51,0.0663,-0.1136,0.2553,-0.0692,0.3257
52,0.0128,-0.1136,0.2553,-0.0692,0.3257
53,0.0119,-0.1136,0.2553,-0.0692,0.3257
54,0.0516,-0.1136,0.2553,-0.0692,0.3257
55,0.0465,-0.1136,0.2553,-0.0692,0.3257
56,0.0358,-0.1136,0.2553,-0.0692,0.3257
57,0.0135,-0.1136,0.2553,-0.0692,0.3257
58,0.0009,-0.1136,0.2553,-0.0692,0.3257
59,0.0342,-0.1136,0.2553,-0.0692,0.3257
60,0.0248,-0.1136,0.2553,-0.0692,0.3257
61,0.0475,-0.1136,0.2553,-0.0692,0.2064
62,-0.0051,-0.1136,0.2553,-0.0692,0.2064
63,0.0018,-0.1136,0.2553,-0.0692,0.2064
64,0.0091,-0.1136,0.2553,-0.0692,0.0603
65,0.1345,-0.1136,0.2553,-0.0692,0.0521
66,0.1063,-0.1136,0.2553,-0.0692,0.0521
67,0.0083,-0.1136,0.2553,-0.0692,0.0521
68,0.0048,-0.1136,0.2553,-0.0692,-0.0467
69,-0.0005,-0.1136,0.2553,-0.0692,0.0521
70,0.0116,-0.1136,0.2553,-0.0692,0.1220
71,0.0499,-0.1136,0.2553,-0.0692,0.0603
72,0.0312,-0.1136,0.2553,-0.0692,0.0603
73,0.0141,-0.1136,0.2553,-0.0692,0.1220
74,0.1282,-0.1136,0.2553,-0.0692,0.1220
75,0.0744,-0.1136,0.2553,-0.0692,0.1220
76,0.1205,-0.1136,0.2553,-0.0692,0.1220
77,0.0248,-0.1136,0.2553,-0.0692,-0.0467
78,0.0235,-0.1136,0.2553,-0.0692,-0.0467
79,0.0238,-0.1136,0.2553,-0.0692,-0.0467
80,-0.0089,-0.1136,0.2553,-0.0692,-0.0467
81,-0.0139,-0.1136,0.2553,-0.0692,0.0582
82,0.0007,-0.1136,0.2553,-0.0692,0.0582
83,0.0234,-0.1136,0.2553,-0.0692,0.0582
84,0.0137,-0.1136,0.2553,-0.0692,0.0582
85,-0.0389,-0.1136,0.6086,-0.0692,0.1117
86,-0.0386,-0.1136,0.6086,-0.0692,0.1117
87,-0.0383,-0.1136,0.6086,-0.0692,0.1117
88,-0.0394,-0.1136,0.6086,-0.0692,0.1117
89,-0.0394,-0.1136,0.6086,-0.0692,0.1117
90,-0.0387,-0.1136,-0.0530,-0.0692,0.0624
91,-0.0375,-0.1136,-0.0530,-0.0692,0.0624
92,-0.0386,-0.1136,-0.0530,-0.0692,0.0624
93,-0.0374,-0.1136,-0.0530,-0.0692,0.0624
94,-0.0376,-0.1136,-0.0530,-0.0692,0.0624
95,-0.0379,-0.1136,-0.0530,-0.0692,0.0624
96,-0.0386,-0.1136,-0.0530,-0.0692,0.0624
97,-0.0381,-0.1136,-0.0530,-0.0692,0.0624
98,-0.0399,-0.1136,0.0291,-0.0692,0.0377
99,-0.0401,-0.1136,0.0291,-0.0692,0.0377
100,-0.0399,-0.1136,0.0291,-0.0692,0.0377
101,-0.0394,-0.1136,0.0291,-0.0692,0.0377
102,-0.0401,-0.1136,0.0291,-0.0692,0.0377
