id,RM,AGE,DIS,RAD,TAX
1,0.0556,-0.0348,0.0268,-0.3717,-0.2142
2,0.0261,0.1063,0.1066,-0.3282,-0.3172
3,0.1725,-0.0770,0.1066,-0.3282,-0.3172
4,0.1367,-0.2346,0.2062,-0.2848,-0.3554
5,0.1652,-0.1480,0.2062,-0.2848,-0.3554
6,0.0279,-0.1017,0.2062,-0.2848,-0.3554
7,-0.0522,-0.0203,0.1605,-0.1978,-0.1856
8,-0.0216,0.2835,0.1960,-0.1978,-0.1856
9,-0.1252,0.3236,0.2080,-0.1978,-0.1856
10,-0.0538,0.1784,0.2543,-0.1978,-0.1856
11,0.0177,0.2649,0.2320,-0.1978,-0.1856
12,-0.0528,0.1475,0.2211,-0.1978,-0.1856
13,-0.0758,-0.3046,0.1506,-0.1978,-0.1856
14,-0.0643,-0.0698,0.0830,-0.2413,-0.1932
15,-0.0361,0.1640,0.0606,-0.2413,-0.1932
16,-0.0863,-0.1244,0.0640,-0.2413,-0.1932
17,-0.0670,-0.4045,0.0640,-0.2413,-0.1932
18,-0.0565,0.1352,0.0421,-0.2413,-0.1932
19,-0.1588,-0.3293,0.0001,-0.2413,-0.1932
20,-0.1068,0.0095,0.0001,-0.2413,-0.1932
21,-0.1369,0.3041,0.0003,-0.2413,-0.1932
22,-0.0612,0.2124,0.0198,-0.2413,-0.1932
23,-0.0273,0.2382,0.0165,-0.2413,-0.1932
24,-0.0904,0.3236,0.0273,-0.2413,-0.1932
25,-0.0691,0.2629,0.0550,-0.2413,-0.1932
26,-0.1314,0.1764,0.0600,-0.2413,-0.1932
27,-0.0904,0.2237,0.0807,-0.2413,-0.1932
28,-0.0455,0.2083,0.0599,-0.2413,-0.1932
29,0.0403,0.2660,0.0600,-0.2413,-0.1932
30,0.0746,0.1928,0.0404,-0.2413,-0.1932
31,-0.1095,0.2629,0.0398,-0.2413,-0.1932
32,-0.0407,0.3236,0.0346,-0.2413,-0.1932
33,-0.0641,0.1383,0.0177,-0.2413,-0.1932
34,-0.1118,0.2721,-0.0007,-0.2413,-0.1932
35,-0.0361,0.2917,-0.0032,-0.2413,-0.1932
36,-0.0674,-0.0039,-0.0395,-0.1978,-0.2466
37,-0.0850,-0.0739,-0.0379,-0.1978,-0.2466
38,-0.0833,-0.2788,0.0127,-0.1978,-0.2466
39,-0.0611,-0.3952,0.0048,-0.1978,-0.2466
40,0.0595,-0.4817,0.1460,-0.2848,-0.2982
41,0.1417,-0.5435,0.1460,-0.2848,-0.2982
42,0.0930,-0.6764,0.1751,-0.2848,-0.3344
43,-0.0222,-0.6383,0.1751,-0.2848,-0.3344
44,-0.0141,-0.6393,0.1751,-0.2848,-0.3344
45,-0.0413,-0.2943,0.1751,-0.2848,-0.3344
46,-0.1155,-0.3581,0.1187,-0.2848,-0.3344
47,-0.0955,-0.3633,0.1187,-0.2848,-0.3344
48,-0.0488,0.1743,0.1723,-0.2848,-0.3344
49,-0.1697,0.2752,0.1887,-0.2848,-0.3344
50,-0.1308,-0.0677,0.2085,-0.2848,-0.3344
51,-0.0616,-0.2356,0.2746,-0.2413,-0.3153
52,-0.0325,-0.0574,0.2746,-0.2413,-0.3153
53,0.0434,-0.4889,0.2746,-0.2413,-0.3153
54,-0.0549,-0.4858,0.2746,-0.2413,-0.3153
55,-0.0760,-0.2160,0.3205,-0.2848,0.1160
56,0.1848,-0.4807,0.4457,-0.1978,-0.3478
57,0.0188,-0.3386,0.4904,-0.3282,-0.1818
58,0.1018,-0.2891,0.4119,-0.1978,-0.2905
59,-0.0268,-0.4055,0.3655,-0.0674,-0.2371
60,-0.0685,-0.2201,0.2853,-0.0674,-0.2371
61,-0.1042,-0.0245,0.3119,-0.0674,-0.2371
62,-0.0611,0.2557,0.2749,-0.0674,-0.2371
63,0.0328,-0.0080,0.3119,-0.0674,-0.2371
64,0.0915,-0.2593,0.3806,-0.0674,-0.2371
