id,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
1,65.20,4.0900,1,296.0,15.30,396.90,4.98,24.00
2,78.90,4.9671,2,242.0,17.80,396.90,9.14,21.60
3,61.10,4.9671,2,242.0,17.80,392.83,4.03,34.70
4,45.80,6.0622,3,222.0,18.70,394.63,2.94,33.40
5,54.20,6.0622,3,222.0,18.70,396.90,5.33,36.20
6,58.70,6.0622,3,222.0,18.70,394.12,5.21,28.70
7,66.60,5.5605,5,311.0,15.20,395.60,12.43,22.90
8,96.10,5.9505,5,311.0,15.20,396.90,19.15,27.10
9,100.00,6.0821,5,311.0,15.20,386.63,29.93,16.50
10,85.90,6.5921,5,311.0,15.20,386.71,17.10,18.90
11,94.30,6.3467,5,311.0,15.20,392.52,20.45,15.00
12,82.90,6.2267,5,311.0,15.20,396.90,13.27,18.90
13,39.00,5.4509,5,311.0,15.20,390.50,15.71,21.70
14,61.80,4.7075,4,307.0,21.00,396.90,8.26,20.40
15,84.50,4.4619,4,307.0,21.00,380.02,10.26,18.20
16,56.50,4.4986,4,307.0,21.00,395.62,8.47,19.90
17,29.30,4.4986,4,307.0,21.00,386.85,6.58,23.10
18,81.70,4.2579,4,307.0,21.00,386.75,14.67,17.50
19,36.60,3.7965,4,307.0,21.00,288.99,11.69,20.20
20,69.50,3.7965,4,307.0,21.00,390.95,11.28,18.20
21,98.10,3.7979,4,307.0,21.00,376.57,21.02,13.60
22,89.20,4.0123,4,307.0,21.00,392.53,13.83,19.60
23,91.70,3.9769,4,307.0,21.00,396.90,18.72,15.20
24,100.00,4.0952,4,307.0,21.00,394.54,19.88,14.50
25,94.10,4.3996,4,307.0,21.00,394.33,16.30,15.60
26,85.70,4.4546,4,307.0,21.00,303.42,16.51,13.90
27,90.30,4.6820,4,307.0,21.00,376.88,14.81,16.60
28,88.80,4.4534,4,307.0,21.00,306.38,17.28,14.80
29,94.40,4.4547,4,307.0,21.00,387.94,12.80,18.40
30,87.30,4.2390,4,307.0,21.00,380.23,11.98,21.00
31,94.10,4.2330,4,307.0,21.00,360.17,22.60,12.70
32,100.00,4.1750,4,307.0,21.00,376.73,13.04,14.50
33,82.00,3.9900,4,307.0,21.00,232.60,27.71,13.20
34,95.00,3.7872,4,307.0,21.00,358.77,18.35,13.10
35,96.90,3.7598,4,307.0,21.00,248.31,20.34,13.50
36,68.20,3.3603,5,279.0,19.20,396.90,9.68,18.90
37,61.40,3.3779,5,279.0,19.20,377.56,11.41,20.00
38,41.50,3.9342,5,279.0,19.20,396.90,8.77,21.00
39,30.20,3.8473,5,279.0,19.20,393.43,10.13,24.70
40,21.80,5.4011,3,252.0,18.30,395.63,4.32,30.80
41,15.80,5.4011,3,252.0,18.30,395.62,1.98,34.90
42,2.90,5.7209,3,233.0,17.90,385.41,4.84,26.60
43,6.60,5.7209,3,233.0,17.90,383.37,5.81,25.30
44,6.50,5.7209,3,233.0,17.90,394.46,7.44,24.70
45,40.00,5.7209,3,233.0,17.90,389.39,9.55,21.20
46,33.80,5.1004,3,233.0,17.90,396.90,10.21,19.30
47,33.30,5.1004,3,233.0,17.90,396.90,14.15,20.00
48,85.50,5.6894,3,233.0,17.90,392.74,18.80,16.60
49,95.30,5.8700,3,233.0,17.90,396.90,30.81,14.40
50,62.00,6.0877,3,233.0,17.90,396.90,16.20,19.40
51,45.70,6.8147,4,243.0,16.80,395.56,13.45,19.70
52,63.00,6.8147,4,243.0,16.80,393.97,9.43,20.50
53,21.10,6.8147,4,243.0,16.80,396.90,5.28,25.00
54,21.40,6.8147,4,243.0,16.80,396.90,8.43,23.40
55,47.60,7.3197,3,469.0,21.10,396.90,14.80,18.90
56,21.90,8.6966,5,226.0,17.90,395.93,4.81,35.40
57,35.70,9.1876,2,313.0,17.30,396.90,5.77,24.70
58,40.50,8.3248,5,256.0,15.10,392.90,3.95,31.60
59,29.20,7.8148,8,284.0,19.70,390.68,6.86,23.30
60,47.20,6.9320,8,284.0,19.70,396.90,9.22,19.60
61,66.20,7.2254,8,284.0,19.70,395.11,13.15,18.70
62,93.40,6.8185,8,284.0,19.70,378.08,14.44,16.00
63,67.80,7.2255,8,284.0,19.70,396.90,6.73,22.20
64,43.40,7.9809,8,284.0,19.70,395.58,9.50,25.00
65,59.50,9.2229,3,216.0,18.60,393.24,8.05,33.00
66,17.80,6.6115,4,337.0,16.10,396.90,4.67,23.50
67,31.10,6.6115,4,337.0,16.10,396.90,10.24,19.40
68,21.40,6.4980,4,345.0,18.90,396.21,8.10,22.00
69,36.80,6.4980,4,345.0,18.90,396.90,13.09,17.40
70,33.00,6.4980,4,345.0,18.90,396.90,8.79,20.90
71,6.60,5.2873,4,305.0,19.20,383.73,6.72,24.20
72,17.50,5.2873,4,305.0,19.20,376.94,9.88,21.70
73,7.80,5.2873,4,305.0,19.20,390.91,5.52,22.80
74,6.20,5.2873,4,305.0,19.20,377.17,7.54,23.40
75,6.00,4.2515,5,398.0,18.70,394.92,6.78,24.10
76,45.00,4.5026,5,398.0,18.70,383.23,8.94,21.40
77,74.50,4.0522,5,398.0,18.70,373.66,11.97,20.00
78,45.80,4.0905,5,398.0,18.70,386.96,10.27,20.80
79,53.70,5.0141,5,398.0,18.70,386.40,12.34,21.20
80,36.60,4.5026,5,398.0,18.70,396.06,9.10,20.30
81,33.50,5.4007,4,281.0,19.00,396.90,5.29,28.00
82,70.40,5.4007,4,281.0,19.00,395.63,7.22,23.90
83,32.20,5.4007,4,281.0,19.00,396.90,6.72,24.80
84,46.70,5.4007,4,281.0,19.00,390.64,7.51,22.90
85,48.00,4.7794,3,247.0,18.50,396.90,9.62,23.90
86,56.10,4.4377,3,247.0,18.50,392.30,6.53,26.60
87,45.10,4.4272,3,247.0,18.50,395.99,12.86,22.50
88,56.80,3.7476,3,247.0,18.50,395.15,8.44,22.20
89,86.30,3.4217,2,270.0,17.80,396.90,5.50,23.60
90,63.10,3.4145,2,270.0,17.80,396.06,5.70,28.70
91,66.10,3.0923,2,270.0,17.80,392.18,8.81,22.60
92,73.90,3.0921,2,270.0,17.80,393.55,8.20,22.00
93,53.60,3.6659,4,270.0,18.20,395.01,8.16,22.90
94,28.90,3.6659,4,270.0,18.20,396.33,6.21,25.00
