id,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
1,58.70,6.0622,3,222.0,18.70,394.12,5.21
2,94.30,6.3467,5,311.0,15.20,392.52,20.45
3,94.10,4.3996,4,307.0,21.00,394.33,16.30
4,100.00,4.1750,4,307.0,21.00,376.73,13.04
5,21.80,5.4011,3,252.0,18.30,395.63,4.32
6,33.80,5.1004,3,233.0,17.90,396.90,10.21
7,47.60,7.3197,3,469.0,21.10,396.90,14.80
8,21.90,8.6966,5,226.0,17.90,395.93,4.81
9,74.50,4.0522,5,398.0,18.70,373.66,11.97
10,36.60,4.5026,5,398.0,18.70,396.06,9.10
11,70.40,5.4007,4,281.0,19.00,395.63,7.22
12,45.10,4.4272,3,247.0,18.50,395.99,12.86
13,53.60,3.6659,4,270.0,18.20,395.01,8.16
14,85.40,2.7147,5,384.0,20.90,70.80,10.63
15,85.20,2.1224,5,384.0,20.90,387.69,14.09
16,72.50,2.7301,6,432.0,17.80,393.30,12.04
17,92.90,2.0869,2,188.0,19.10,378.09,17.93
18,100.00,1.4118,5,403.0,14.70,396.90,26.42
19,98.50,1.6232,5,403.0,14.70,261.95,15.79
20,93.90,2.1620,5,403.0,14.70,388.45,3.32
21,96.20,2.0459,5,403.0,14.70,369.30,3.70
22,96.10,2.1000,5,403.0,14.70,297.09,11.10
23,38.40,6.2700,2,348.0,14.70,393.77,7.43
24,15.70,6.2700,2,348.0,14.70,395.38,3.11
25,92.10,3.8771,4,277.0,18.60,393.25,17.27
26,42.40,3.9454,4,277.0,18.60,393.63,9.47
27,73.30,3.8384,8,307.0,17.40,385.91,2.47
28,66.50,3.6519,8,307.0,17.40,360.20,8.05
29,52.90,7.0355,6,300.0,16.60,372.75,11.22
30,61.50,3.9175,3,223.0,18.60,391.34,13.65
31,32.10,4.1403,4,254.0,17.60,396.90,7.19
32,27.90,5.1167,4,245.0,19.20,396.90,3.33
33,18.40,5.5027,4,289.0,16.00,396.90,8.58
34,40.10,4.7211,5,287.0,19.60,396.90,6.12
35,59.60,5.6150,5,224.0,20.20,394.81,10.56
36,27.70,8.5353,4,351.0,17.90,392.43,6.36
37,19.50,10.5857,4,334.0,22.00,376.04,5.57
38,100.00,1.5106,24,666.0,20.20,131.42,13.33
39,97.00,1.9265,24,666.0,20.20,394.43,17.11
40,100.00,1.5741,24,666.0,20.20,396.90,20.32
41,96.00,1.7028,24,666.0,20.20,396.90,19.77
42,100.00,1.8589,24,666.0,20.20,318.75,15.02
43,95.40,1.9096,24,666.0,20.20,7.68,24.39
44,100.00,2.0048,24,666.0,20.20,395.69,16.59
45,91.80,2.3682,24,666.0,20.20,385.09,17.27
46,99.30,2.4527,24,666.0,20.20,375.87,16.74
47,56.70,2.8237,24,666.0,20.20,396.90,14.76
48,96.70,2.1705,24,666.0,20.20,379.70,18.03
49,51.90,3.9917,24,666.0,20.20,388.62,10.58
50,53.20,3.1523,24,666.0,20.20,388.22,11.45
